trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.14956861922263504}",30,11,32.23956483263288,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14660696213035015}",20,8,8.701935147137844,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,17,12.31853796561655,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.140858420921045}",25,11,21.13460884459279,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,14,10.955513123675107,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,16.699078579772703,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,12,5.4187669675458165,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.1300287108784259}",30,18,11.829779685331028,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,8,19.465247472048677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,11,16.59434552906687,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,16,5.84893692078387,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,0,28.07930321953197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.11765484302177918}",25,11,22.234079288309843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,15,-0.7183982256302266,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,15,11.302952306236614,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.11080315836233387}",30,7,2.3705305608266034,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10860910882495796}",30,11,12.001650163433514,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
